Course (abbrev);Date (or Period);Duration (hours);Customer;City
{JavaSE8Programming} ({OracleCourse});September 2017 ({uri-weeks-2017}[week 38]);40;{Valec};{HeptaBrasilia}
{JavaSE8Fundamentals} ({OracleCourse});September 2017 ({uri-weeks-2017}[week 37]);40;{Valec};{HeptaBrasilia}
{JB248} ({RedHatCourse});July 2016;32;{Tecnisys};{Brasilia}
TDD with {JavaEE} and {Arquillian};March 2015;16;{STN};{Brasilia}
{JB248} ({RedHatCourse});December 2014;32;{SefazCE};{Fortaleza}
{JB225} ({RedHatCourse});December 2014;32;{SefazCE};{Fortaleza}
TDD with {JavaEE} and {Arquillian};January 2014;16;{Threeway};{Goiania}
JBoss AS 7;January 2013;20;{CEF};{Brasilia}
JBoss AS 6 / 7;January 2013;40;{CpdUnB};{Brasilia}
{JavaEE} 6;December 2012;40;{CpdUnB};{Brasilia}
JBoss EAP 5 tuning;October 2012;72;{Trt13};{JoaoPessoa}
{JBossLadoServidor};April 2011;40;{SolucaoSE};{Brasilia}
{JBossLadoServidor};May 2011;40;{UNIC};{PrimaveraDoLeste}
{JavaEE} 6;July 2010;40;{UNIC};{Cuiaba}
{JBossLadoServidor};December 2009;24;{Exercito}/ {Aeronautica};{Brasilia}
JBoss AS tuning;December 2009;40;{Serpro};{Brasilia}
{JBossLadoServidor};November 2009;32;{Serpro};{Brasilia}
{EJBLadoServidor};November 2009;40;{Cabal};{Brasilia}
{JBossLadoServidor};October 2009;32;{STN};{Brasilia}
Seam Framework;July 2009;32;{Cabal};{Brasilia}
JBoss AS architecture/ development;September 2008;40;{Digitro};{Florianopolis}
JBoss AS;February 2008;40;{Pixeon};{Florianopolis}
JBoss AS;January 2008;40;{Dataprev};{RioDeJaneiro}
JBoss AS;January 2008;40;{Dataprev};{RioDeJaneiro}
{RH336} ({RedHatCourse});December 2007;32;{Ambima};{RioDeJaneiro}
{RH336} ({RedHatCourse});November 2007;32;{TrePR};{Curitiba}
JBoss AS;September 2007;40;B2Br;{Brasilia}
{RH336} ({RedHatCourse});August 2007;32;open class;{SaoPaulo}
JSF;August 2007;40;{Cast};{Brasilia}
jBPM;July 2007;12;{Trf1};{Brasilia}
{RH336} ({RedHatCourse});June 2007;32;open class;{SaoPaulo}
JBoss AS;November 2006;32;{Search};{Brasilia}
{JavaEE} - JSP/Servlet;November 2006;56;{Embrapa};{Brasilia}
